mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
201309,104.2,0.35,8.9,82.36,147.27,5.0,5190039.7,111.62,39357.0,112696046.68,832570393.31
201310,101.3,0.57,9.25,78.74,151.9,5.0,5235156.6,109.48,42961.0,317378207.41,1074759874.36
201311,101.1,0.54,9.45,82.02,147.79,5.0,5278966.6,108.08,46929.0,148504546.28,874696260.53
201312,97.8,0.92,9.9,83.0,145.77,5.0,5331619.0,110.67,53960.0,175305928.9,871084920.57
201401,97.5,0.55,10.17,84.08,142.72,5.0,5377591.2,107.42,4209.0,649502931.85,1066530884.38
201402,105.2,0.69,10.43,83.92,143.53,5.0,5434593.9,108.81,8329.0,544055437.82,707010465.31
201403,98.5,0.92,10.65,81.69,149.03,5.0,5475984.5,107.40,12178.0,617092787.98,745714126.34
201404,93.0,0.67,10.87,78.18,147.69,5.0,5512855.6,107.79,14905.0,1366287356.2,916331176.91
201405,95.7,0.46,10.9,77.65,147.14,5.0,5553873.9,109.68,16954.0,619618433.27,744841393.91
201406,92.0,0.4,10.9,78.0,140.88,5.0,5575724.7,111.87,21399.0,621340123.18,708902247.62
201407,95.5,0.01,10.9,77.55,149.85,5.0,5606410.4,106.98,24967.0,1345375323.79,876649539.36
201408,93.3,0.25,10.9,78.74,148.27,5.0,5638067.9,101.92,29701.0,616000256.03,1049695272.05
201409,97.0,0.57,10.9,80.59,148.12,5.0,5683716.3,97.34,34069.0,618996414.16,782526733.78
201410,95.8,0.42,10.92,84.01,149.7,5.0,5717959.2,87.27,38413.0,1498952650.55,1049251712.86
201411,92.7,0.51,11.15,86.53,144.92,5.0,5747684.8,78.44,41858.0,690393153.9,955669511.92
201412,95.5,0.78,11.58,88.49,145.48,5.0,5778953.0,62.33,47038.0,664001305.97,868008799.02
201501,93.0,1.24,11.82,86.79,138.99,5.5,5799553.9,48.07,2508.0,1530455778.61,964842038.51
201502,88.1,1.22,12.15,92.12,136.71,5.5,5810506.3,57.93,5244.0,504638758.06,607295792.9
201503,95.3,1.32,12.58,101.87,149.73,5.5,5849644.2,55.79,9349.0,522355039.29,651177346.41
201504,90.1,0.71,12.68,98.41,142.52,6.0,5866862.7,59.39,11736.0,1228375869.39,801636958.23
201505,89.4,0.74,13.15,98.51,139.95,6.0,5877527.9,64.56,15051.0,525822949.17,594612738.26
201506,95.9,0.79,13.58,99.8,138.72,6.0,5907304.8,62.34,18662.0,520124114.13,585470565.64
201507,89.8,0.62,13.69,102.73,143.37,6.5,5928051.8,55.87,21507.0,1030827121.24,735463407.94
201508,90.2,0.22,14.15,111.61,140.95,6.5,5943509.3,46.99,23542.0,540658918.32,600135904.46
201509,87.6,0.54,14.15,123.05,138.24,6.5,5953405.9,47.24,26021.0,511222494.19,607695956.62
201510,87.7,0.82,14.15,121.12,140.26,7.0,5967927.5,48.12,28293.0,1208573937.44,730540390.06
201511,87.4,1.01,14.15,116.78,136.04,7.0,5982474.2,44.42,30679.0,516872701.37,542528897.76
201512,87.9,0.96,14.15,118.15,136.46,7.0,5995787.0,37.72,35153.0,518070722.28,549921176.14
201601,87.1,1.27,14.15,122.0,128.47,7.5,6004331.1,30.80,1497.0,1235120159.82,709681764.76
201602,90.8,0.9,14.15,118.66,130.94,7.5,6029181.0,33.20,3517.0,398259239.86,432405562.87
201603,89.4,0.43,14.15,110.79,140.53,7.5,6039342.0,39.07,5392.0,426230593.3,466737935.31
201604,94.8,0.61,14.15,106.51,136.12,7.5,6055648.1,42.25,6598.0,1020494327.53,594812066.59
201605,93.3,0.78,14.15,105.4,133.71,7.5,6077838.0,47.13,8494.0,453756327.01,460635918.98
201606,95.9,0.35,14.15,101.9,135.45,7.5,6118352.6,48.48,11080.0,449331585.91,457162973.29
201607,94.3,0.52,14.15,96.81,136.77,7.5,6139828.7,45.07,14541.0,1034479390.94,602564580.09
201608,96.3,0.44,14.15,94.53,138.24,7.5,6172089.6,46.14,18455.0,445749566.99,470351740.11
201609,96.9,0.08,14.15,96.05,134.02,7.5,6187312.5,46.19,20731.0,469434134.93,437349526.15
201610,92.9,0.26,14.05,93.89,132.87,7.5,6195569.8,49.73,23028.0,1032625950.87,559383729.8
201611,98.0,0.18,13.9,98.08,132.52,7.5,6223883.6,46.44,24761.0,444535942.83,433737474.59
201612,98.9,0.3,13.65,98.17,133.56,7.5,6269328.0,54.07,28609.0,472627938.06,430009593.95
201701,100.4,0.38,13.17,93.8,128.57,7.5,6307572.4,54.89,933.0,1057851823.59,572774991.21
201702,99.0,0.33,12.82,91.06,129.56,7.5,6330178.2,55.49,1902.0,371429884.58,342050571.62
201703,101.1,0.25,12.15,91.61,142.05,7.5,6355071.7,51.97,3117.0,366625583.42,375304806.43
201704,94.0,0.14,11.59,92.0,133.75,7.0,6370149.2,52.98,4490.0,889998492.47,495370291.45
201705,104.4,0.31,11.15,93.92,135.95,7.0,6405200.4,50.87,5842.0,367826129.44,381905289.96
201706,100.1,-0.23,10.15,96.75,135.05,7.0,6427016.5,46.89,6944.0,423176201.67,402600828.29
201707,102.7,0.24,10.01,93.85,138.39,7.0,6453349.7,48.69,8730.0,849883648.39,471361933.07
201708,104.2,0.19,9.15,92.34,140.15,7.0,6477661.3,51.37,9885.0,380594374.71,409426550.84
201709,102.6,0.16,8.35,92.17,134.92,7.0,6498400.9,55.16,10711.0,423256179.38,456567005.52
201710,106.0,0.42,8.01,93.37,136.0,7.0,6527183.0,57.62,11551.0,878336989.17,551770818.84
201711,105.3,0.28,7.4,95.19,135.08,7.0,6557222.9,62.57,12646.0,413656669.76,513440720.76
201712,106.4,0.44,7.0,95.65,135.85,7.0,6585479.0,64.21,14364.0,423156041.21,499938180.55
201801,106.6,0.29,6.9,93.61,132.0,6.75,6622546.3,68.99,400.0,905688538.37,550197236.17
201802,103.0,0.32,6.72,94.63,129.86,6.75,6648384.4,65.42,893.0,336271306.7,341229236.88
201803,101.5,0.09,6.58,95.8,141.64,6.75,6680377.0,66.45,1668.0,335414104.98,349522619.21
201804,110.7,0.22,6.4,99.67,139.05,6.6,6731468.2,71.63,2549.0,776490419.9,471717614.65
201805,92.6,0.4,6.4,106.3,132.28,6.6,6744687.9,76.65,3602.0,373021478.68,363424188.1
